Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library,129s1.SvImJ_vs_C57BL.6J,A.J_vs_C57BL.6J,C57BL.6J_vs_129s1.SvImJ,C57BL.6J_vs_A.J,C57BL.6J_vs_C57BL.6J,C57BL.6J_vs_mbio_H37Rv,CC001.Unc_vs_C57BL.6J,CC002.Unc_vs_C57BL.6J,CC003.Unc_vs_C57BL.6J,CC004.TauUnc_vs_C57BL.6J,CC005.TauUnc_vs_C57BL.6J,CC006.TauUnc_vs_C57BL.6J,CC007.Unc_vs_C57BL.6J,CC008.GeniUnc_vs_C57BL.6J,CC009.Unc_vs_C57BL.6J,CC010.GeniUnc_vs_C57BL.6J,CC011.Unc_vs_C57BL.6J,CC012.GeniUnc_vs_C57BL.6J,CC013.GeniUnc_vs_C57BL.6J,CC015.Unc_vs_C57BL.6J,CC016.GeniUnc_vs_C57BL.6J,CC017.Unc_vs_C57BL.6J,CC018.Unc_vs_C57BL.6J,CC019.TauUnc_vs_C57BL.6J,CC021.Unc_vs_C57BL.6J,CC022.GeniUnc_vs_C57BL.6J,CC023.GeniUnc_vs_C57BL.6J,CC024.GeniUnc_vs_C57BL.6J,CC025.GeniUnc_vs_C57BL.6J,CC027.GeniUnc_vs_C57BL.6J,CC028.GeniUnc_vs_C57BL.6J,CC030.GeniUnc_vs_C57BL.6J,CC031.GeniUnc_vs_C57BL.6J,CC032.GeniUnc_vs_C57BL.6J,CC033.GeniUnc_vs_C57BL.6J,CC034.Unc_vs_C57BL.6J,CC035.Unc_vs_C57BL.6J,CC037.TauUnc_vs_C57BL.6J,CC038.GeniUnc_vs_C57BL.6J,CC039.Unc_vs_C57BL.6J,CC040.TauUnc_vs_C57BL.6J,CC041.TauUnc_vs_C57BL.6J,CC042.GeniUnc_vs_C57BL.6J,CC043.GeniUnc_vs_C57BL.6J,CC044.Unc_vs_C57BL.6J,CC045.GeniUnc_vs_C57BL.6J,CC046.Unc_vs_C57BL.6J,CC047.Unc_vs_C57BL.6J,CC051.TauUnc_vs_C57BL.6J,CC056.GeniUnc_vs_C57BL.6J,CC057.Unc_vs_C57BL.6J,CC059.TauUnc_vs_C57BL.6J,CC061.GeniUnc_vs_C57BL.6J,CC065.Unc_vs_C57BL.6J,Cast.EiJ_vs_C57BL.6J,IFNG_vs_C57BL.6J,NOD.ShiLtJ_vs_C57BL.6J,NOS_vs_C57BL.6J,NZO.H1LtJ_vs_C57BL.6J,PWK.PhJ_vs_C57BL.6J,Phox_vs_C57BL.6J,Rag_vs_C57BL.6J,Wsb.Eij_vs_C57BL.6J,in_vitro_vs_C57BL.6J,Functional_Category
Rv0012,0.8116,0.4891,0.6085,0.2287,0.1063,0.8611,0.9146,0.9424,0.0917,0.7938,0.4177,0.5915,0.5211,0.718,0.593,0.5419,0.122,0.7845,0.4224,0.5726,0.2195,0.0142,0.0619,0.3738,0.3959,0.0019,0.3314,0.0081,0.8494,0.003,0.8102,0.0,0.0187,0.3288,0.2808,0.026,0.9534,0.9327,0.3991,0.0,0.4691,0.6468,0.0033,0.021,0.0878,0.5909,0.0108,0.0008,0.0003,0.0064,0.002,0.2067,0.0924,0.0081,0.3816,0.8357,0.3485,0.2125,0.4256,0.599,0.1499,0.8319,0.2095,0.0085,0.4957,0.1731,0.5028,0.1698,1.0,0.2881,0.1199,0.0543,0.1229,0.0572,0.0036,0.3532,0.38,0.0524,0.8885,0.2126,0.1604,0.3022,0.2973,0.0703,0.024,0.2865,0.0013,0.013,0.291,0.4551,0.2734,0.1223,0.1652,0.1418,0.4119,0.0237,0.1628,0.0856,0.8699,0.2898,0.1135,0.0236,0.0692,0.2012,0.5621,0.6921,0.2852,0.1278,0.797,0.2546,0.1628,0.2685,0.1044,0.7196,0.2593,0.9806,0.4379,0.1413,0.0123,0.303,0.2456,0.0149,0.0049,0.1864,0.0726,0.0012,0.2571,0.2842,cell wall and cell processes
Rv0013,0.689,0.6671,0.7477,1.0,0.7455,0.4591,0.7369,0.8721,0.8777,0.8749,1.0,0.7539,1.0,0.7924,0.4052,0.771,0.3252,0.7416,0.8847,0.0511,0.9622,0.4853,1.0,0.159,0.2422,1.0,0.7412,0.4595,0.3944,0.4894,0.4685,0.4933,0.492,0.6826,0.7696,0.9027,0.2687,0.2865,1.0,0.1427,0.0,0.7042,1.0,0.4887,0.6157,0.3077,0.1182,0.7189,0.7253,0.7959,0.9576,0.6214,0.5032,0.9619,0.4845,0.6688,0.8703,1.0,0.3555,0.2348,1.0,0.4302,0.015,0.027,0.7441,0.8539,0.7459,0.8537,1.0,0.3369,0.6443,0.4041,0.7069,0.7483,0.751,0.7531,0.7543,0.7541,0.8931,0.1047,0.9016,0.9024,0.607,0.7981,0.8063,0.9003,0.567,0.3673,0.6029,0.7602,0.3696,0.4293,0.6512,0.7615,0.7568,0.9024,0.8078,0.7613,0.7588,0.9019,0.7562,0.8598,0.7559,0.756,0.9035,0.708,0.7597,0.7666,0.7524,0.7588,0.9409,0.7589,0.7533,0.7492,1.0,0.8094,0.4659,0.4379,0.9003,0.9057,0.7446,0.7618,1.0,0.8127,0.5573,0.7575,0.8998,0.8642,intermediary metabolism and respiration
Rv0014c,0.1858,0.6719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4146,0.3984,1.0,1.0,1.0,1.0,1.0,0.159,1.0,1.0,1.0,0.5128,1.0,0.4975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6723,0.6711,1.0,0.6879,0.182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4933,0.5017,1.0,0.5048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.576,1.0,0.3994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4045,1.0,0.4017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,regulatory proteins
Rv0015c,0.9906,0.7599,0.9338,0.3585,0.8495,1.0,0.2894,0.9689,0.4313,0.4929,0.9985,0.6911,0.6508,0.345,0.7238,0.4719,0.9036,0.359,0.4664,0.64,0.9479,1.0,0.7299,0.2661,0.4933,0.9376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9039,0.5376,0.708,0.0712,0.6643,1.0,0.3561,0.7473,0.6077,0.7104,0.9274,0.4831,0.7203,0.2471,0.7837,0.3361,0.8528,0.604,0.3328,0.1145,0.6031,1.0,0.8475,0.5029,1.0,0.2414,0.4968,1.0,0.563,0.2457,1.0,0.5232,0.1602,0.5174,0.1581,1.0,0.5326,0.2186,0.5243,0.8002,0.3485,0.5154,0.3477,0.2572,0.7704,0.3554,0.3202,0.3498,0.1701,0.1596,0.5034,0.2584,0.5057,0.5035,0.1611,0.4628,0.1585,0.1856,0.855,0.0805,0.3593,0.4071,0.4268,0.5609,0.9203,0.927,0.3115,0.7825,0.2536,0.4593,1.0,0.4426,0.1149,0.0515,0.6662,0.3985,0.3039,0.9253,0.0987,0.9394,0.0709,0.2825,0.2534,0.5636,0.4772,0.6227,0.4961,0.7823,0.1888,0.0551,0.7267,0.1619,0.6511,0.5145,0.5259,regulatory proteins
Rv0016c,0.8551,0.6662,0.0764,0.0,0.1087,0.2773,0.386,0.5283,0.7869,0.4275,0.5807,0.6815,0.6315,0.0004,0.0785,0.0385,0.0001,0.3186,0.0,0.9179,0.9044,0.9961,0.3279,0.1657,0.4683,0.0902,0.0,0.2441,1.0,0.027,0.3062,0.2288,0.8724,0.1937,0.122,0.4396,0.0105,0.0453,0.5421,0.0,0.0,0.1102,0.2084,0.3811,0.8737,0.4661,0.0384,0.0,0.0,0.0006,0.3101,0.0,0.0446,0.0028,0.0,0.304,0.5769,0.0016,0.565,0.3663,0.2738,0.1895,0.0013,0.0,0.3323,0.5907,0.3268,0.5906,1.0,0.0001,0.7163,0.611,0.7681,0.9061,0.6238,0.952,0.4427,0.8054,0.903,0.7728,0.9372,0.5205,0.5516,0.6942,0.5693,0.7464,0.7771,0.6448,0.5509,0.956,0.806,0.8119,0.5059,0.8736,0.3927,0.305,0.6671,0.5232,0.58,0.2549,0.8613,0.6668,0.5599,0.5183,0.594,0.8448,0.5011,0.5174,0.4903,0.7296,0.5356,0.9336,0.5113,0.8553,0.7212,0.3974,0.5606,0.7299,0.6713,0.5498,0.365,0.874,0.7731,0.672,0.729,0.3707,0.7785,0.7915,cell wall and cell processes
Rv0017c,0.7858,0.6813,0.1411,0.0,0.3754,0.0571,0.32,0.6583,0.5842,0.1601,0.2641,0.0226,0.7475,0.0386,0.1707,0.0587,0.0011,0.2474,0.0016,0.9322,0.4508,0.0338,0.0833,0.1275,0.0171,0.0376,0.0,0.0112,0.3543,0.6329,0.0015,0.0799,0.8122,0.2527,0.2287,0.9891,0.0029,0.0175,0.2598,0.0,0.0,0.3604,0.3176,0.8849,0.6367,0.4627,0.1824,0.0,0.0,0.0213,0.462,0.002,0.0859,0.0001,0.0,0.3902,0.3242,0.0,0.52,0.1758,0.1072,0.1428,0.0,0.0,0.0248,0.4218,0.0254,0.4094,1.0,0.0,0.6341,0.3882,0.4086,0.8693,0.2337,0.3697,0.504,0.7065,0.3992,0.8063,0.8904,0.5072,0.8406,0.3637,0.8963,0.7037,0.403,0.1144,0.3792,0.9435,0.5664,0.9483,0.6808,0.3474,0.2744,0.7561,0.1367,0.8522,0.5815,0.4359,0.9171,0.6401,0.1158,0.6635,0.8812,0.3766,0.7288,0.5568,0.9625,0.7573,0.258,0.2512,0.8432,0.5331,0.8297,0.5386,0.4147,0.1953,0.9604,0.1743,0.063,0.3477,0.5089,0.2235,0.4103,0.6391,0.631,0.2662,cell wall and cell processes
Rv0018c,0.9764,0.6885,0.2511,0.0011,0.4052,1.0,0.971,0.4887,0.0106,0.3132,0.7555,0.7928,0.3033,0.5058,0.1042,0.5863,0.3393,0.9754,0.6707,0.9352,0.4988,0.1071,0.0231,0.0139,0.0353,0.8949,0.6038,0.3622,0.8244,0.7079,0.3747,0.5124,0.0009,0.5987,0.6436,0.7033,0.0402,0.1456,0.643,0.0028,0.2057,0.9001,0.821,0.819,0.1134,0.0607,0.0,0.1896,0.0013,0.016,0.0644,0.7586,0.4747,0.5932,0.1628,0.0015,0.4533,0.8076,0.5705,0.0002,0.8363,0.3685,0.7784,0.0,0.1955,0.7802,0.1919,0.7745,1.0,0.0074,0.6859,0.4728,0.3516,0.7514,0.3221,0.6704,0.3172,0.7567,0.9567,0.3757,0.6007,0.5016,0.8339,0.425,0.7654,0.4171,0.3599,0.4417,0.327,0.32,0.4511,0.3204,0.3354,0.8307,0.3231,0.4283,0.3807,0.4886,0.8241,0.3298,0.4974,0.3801,0.3237,0.5553,0.3164,0.6693,0.345,0.5225,0.5187,0.7076,0.9191,0.3257,0.818,0.6123,0.8018,0.3705,1.0,0.641,0.5321,0.9067,0.1895,0.837,0.0243,0.6796,0.7068,0.7174,0.5985,0.794,regulatory proteins
Rv0019c,0.987,0.8745,0.0182,0.0003,0.9438,0.8965,0.1264,0.7229,0.001,0.0135,0.7471,0.2254,0.2831,0.419,0.0048,0.1141,0.2877,0.8534,0.3297,0.3587,0.363,1.0,0.4431,0.3352,0.2381,0.387,0.0,0.9392,0.2655,0.0109,0.9374,0.5021,1.0,0.8904,0.9354,0.0035,0.0771,0.0804,0.7019,0.0,0.0053,0.694,0.7021,1.0,0.83,0.0988,0.0,0.0,0.0,0.4947,0.9116,0.377,0.0275,0.0018,0.0356,0.3849,0.4858,0.1872,0.1884,0.2456,0.0121,0.9088,0.001,0.0002,0.0008,0.2397,0.0007,0.253,1.0,0.0079,0.8322,0.2308,0.2486,0.4393,0.197,0.6466,0.1388,0.1439,0.1134,0.0581,0.4999,0.8803,0.1448,0.551,0.4233,0.3642,0.0493,0.2472,0.1485,0.1103,0.3149,0.6439,0.0964,0.1159,0.1452,0.9683,0.2447,0.0653,0.6387,0.147,0.1461,0.5277,0.8751,0.5574,0.15,0.8498,0.246,0.1555,0.7696,0.6508,0.1346,0.1435,0.9863,0.1378,0.5995,0.5273,0.1553,0.3295,0.1422,0.0995,0.0024,1.0,0.0008,0.5285,0.4885,0.0354,0.1466,0.0099,regulatory proteins
Rv0020c,0.7699,0.644,0.7261,0.0254,0.9251,0.2309,0.5741,0.4665,0.4335,0.6506,0.7423,0.2787,0.4197,0.0607,0.2418,0.8842,0.1551,0.4782,0.1274,0.96,0.9354,0.4492,0.9878,0.287,0.9827,0.6582,0.0237,0.0464,0.4458,0.0487,0.7446,0.5925,0.5392,0.6843,0.5711,0.6364,0.1349,0.1902,0.7372,0.0,0.2876,0.6464,0.1404,0.2437,0.8203,0.1357,0.0022,0.006,0.0004,0.5299,0.5176,0.4073,0.1224,0.153,0.8528,0.2884,0.0176,0.0123,0.717,0.0934,0.5912,0.305,0.7236,0.8516,0.2115,0.2471,0.2215,0.2402,1.0,0.0265,0.607,0.8596,0.7395,0.6876,0.2478,0.5763,0.5949,0.7748,0.265,0.8665,0.1763,0.4232,0.9834,0.3059,0.9733,0.7474,0.2366,0.5796,0.4331,0.0799,0.3296,0.5992,0.87,0.4543,0.0715,0.4713,0.052,0.4619,0.2832,0.0412,0.9771,0.5738,0.6075,0.481,0.4277,0.5866,0.6567,0.8277,0.5279,0.2383,0.1919,0.8619,0.5618,0.6398,0.7446,0.1307,0.7775,0.7303,0.2051,0.0363,0.4541,0.6573,0.103,0.4817,0.2145,0.3117,0.6996,0.1801,regulatory proteins
Rv0022c,0.8586,0.9785,0.682,0.8181,0.6671,0.7037,0.8307,0.7228,0.6119,0.8186,0.5918,0.5079,0.2134,0.6233,0.5934,0.5874,0.7491,0.9213,0.7078,0.5661,0.3887,0.7767,0.5589,0.0776,0.0237,0.412,0.0461,0.2487,0.943,0.0192,0.1602,0.1811,0.8455,0.6159,0.6707,0.7521,0.1362,0.1643,0.3062,0.9986,0.8006,0.7464,0.9248,0.8421,0.3934,0.3202,0.1331,0.5565,0.6844,0.7935,0.7305,0.9197,0.6399,0.7705,0.2965,0.6952,0.6187,0.3495,0.3757,0.1509,0.387,0.8271,0.7854,0.6786,0.4509,0.5411,0.4664,0.5353,1.0,0.5859,0.3686,0.9206,0.5014,0.9756,0.7615,0.6943,0.6551,0.6772,0.0917,0.4313,0.7763,0.4116,0.3815,0.5522,0.4345,0.5273,0.5181,0.7792,0.3654,0.4749,0.7788,0.1262,0.6709,0.4954,0.4461,0.6386,0.8994,0.7962,0.8089,0.8344,0.3644,0.4369,0.8985,0.7628,0.6628,0.535,0.4209,0.7161,0.9271,0.5472,0.4854,0.4275,0.6709,0.4869,0.5561,0.7739,0.0379,0.4354,0.3315,0.7706,0.4213,0.8642,0.6472,0.5734,0.7742,0.9082,0.5432,0.3073,regulatory proteins
Rv0023,0.9518,0.7607,0.6962,0.0272,0.9441,1.0,0.7553,0.7809,0.626,0.0871,1.0,0.7487,1.0,0.1532,0.404,1.0,1.0,1.0,0.3937,0.06,0.0613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4199,0.3829,1.0,0.1478,0.7526,1.0,0.2391,0.4862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4872,1.0,1.0,1.0,0.4726,1.0,0.8055,0.2487,1.0,0.3973,1.0,0.3966,1.0,0.0841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,regulatory proteins
Rv0024,0.4101,0.312,0.5948,0.9356,0.7628,0.2461,0.5991,0.8958,0.5154,0.4474,0.9451,0.5189,0.4898,0.323,0.6734,0.0901,0.5322,0.983,0.5376,0.7073,0.7939,0.943,0.0667,0.0424,0.0473,0.9045,0.433,0.462,0.8717,0.6807,0.1535,0.0764,0.408,0.2937,0.6667,0.9823,0.147,0.1453,0.5909,0.199,0.4419,0.7049,0.6203,0.9157,0.1824,0.9658,0.4523,0.9529,0.833,0.5347,0.8848,0.982,0.7726,0.9333,0.4946,0.9795,0.4451,0.5793,0.4431,0.1577,0.8277,0.8298,0.1644,0.8774,0.5672,0.9517,0.5736,0.9529,1.0,0.4346,0.9733,0.9552,0.6307,0.9258,0.5632,0.7019,0.5876,0.5278,0.604,0.5563,0.5389,0.7971,0.1989,0.6238,0.9595,0.6207,0.5414,0.8722,0.9255,0.5889,0.7261,0.7768,0.9573,0.6093,0.8471,0.7336,0.2229,0.6839,0.6507,0.4125,0.5334,0.5284,0.5127,0.5312,0.775,0.8499,0.9445,0.9804,0.1444,0.69,0.8241,0.5992,0.1347,0.5555,0.5802,0.9577,0.4849,0.7854,0.8828,0.863,0.9249,0.9663,0.5033,0.8518,0.6723,0.2722,0.6928,0.9183,"virulence, detoxification, adaptation"
Rv0031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4001,0.4089,0.8009,0.4043,0.1028,0.6967,0.4923,0.3871,0.095,1.0,0.1059,1.0,1.0,0.326,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6618,0.0546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,insertion seqs and phages
Rv0032,0.9618,0.9164,0.6632,0.8029,0.7553,0.7575,0.6321,0.8685,0.6653,0.4806,0.9535,0.4886,0.4904,0.3416,0.0312,0.8742,0.4699,0.5296,0.4068,0.5157,0.1173,0.4028,0.4752,0.5093,0.0761,0.1005,0.4441,0.259,0.6442,0.5128,0.0425,0.5076,0.8086,0.9956,0.9467,0.3198,0.3231,0.4798,0.7136,0.295,0.1236,0.3132,0.6136,0.6076,0.5516,0.9816,0.197,0.9085,0.7601,0.0797,0.7368,0.8981,0.7745,0.9148,0.4902,0.7175,0.142,0.7535,0.731,0.0512,0.2326,0.295,0.9668,0.7378,0.9676,0.7927,0.9665,0.7842,1.0,0.9467,0.9758,0.7257,0.7673,0.5371,0.7776,0.6636,0.9209,0.8214,0.8766,0.8072,0.6081,0.6521,0.3799,0.9052,0.573,0.9703,0.6279,0.7277,0.7617,0.9048,0.8228,0.7266,0.6988,0.7598,0.9751,0.5839,0.9834,0.9094,0.2708,0.9274,0.8273,0.7943,0.5866,0.5167,0.6537,0.6272,0.7417,0.4571,0.8009,0.3513,0.5321,0.4149,0.7789,0.5914,0.7535,0.9404,0.2395,0.7508,0.7518,0.4003,0.9521,0.8542,0.4903,0.9751,0.6639,0.8159,0.923,0.625,intermediary metabolism and respiration
Rv0033,0.7503,0.7374,0.1646,0.5453,0.3658,0.3517,0.9331,0.6022,0.7059,0.5054,0.1075,0.3836,0.1987,0.8894,0.0206,0.1128,0.9844,0.189,0.0614,0.5506,0.2752,0.1226,0.4876,0.728,0.3151,0.8001,0.2613,0.747,0.9781,0.7612,0.5153,0.2497,0.7001,0.8904,0.4915,0.5928,0.1681,0.2476,0.5038,0.3916,0.404,0.5711,0.0341,0.155,0.7533,0.3758,0.3261,0.2377,0.469,0.1069,0.478,0.9229,0.1111,0.5599,0.4035,0.3806,0.2177,0.9001,0.8996,0.7337,0.7989,0.982,0.8382,0.7465,0.1665,0.5395,0.163,0.538,1.0,0.143,0.7127,0.984,0.6812,0.7547,0.9386,0.4606,0.1255,0.4697,0.9663,0.3145,0.4044,0.1121,0.8347,0.9977,0.081,0.8228,0.3052,0.9544,0.062,0.0344,0.9349,0.9093,0.8641,0.4826,0.0999,0.6072,0.0266,0.3123,0.9102,0.6414,0.2306,0.9866,0.4189,0.9625,0.1214,0.3339,0.059,0.9457,0.2656,0.4654,0.0043,0.5642,0.794,0.4569,0.5091,0.3977,0.1556,0.4538,0.4214,0.8956,0.5586,0.5207,0.4029,0.2591,0.6606,0.167,0.4804,0.4543,lipid metabolism
Rv0035,0.8798,0.9771,0.5122,0.8872,0.7302,0.7618,0.3539,0.8284,0.4887,0.6605,0.7987,0.7594,0.5125,0.7714,0.857,0.4533,0.3392,0.8867,0.4441,0.0552,0.0462,0.3389,0.7885,0.5719,0.7167,0.6276,0.0586,0.438,0.7513,0.6904,0.2988,0.7645,0.9697,0.9712,0.6711,0.9951,0.6233,0.9396,0.8532,0.6733,0.8837,0.9421,0.8642,0.8038,0.3955,0.676,0.8489,0.9286,0.8554,0.5127,0.6605,0.8406,0.9898,0.9981,0.1988,0.7468,0.4443,0.9892,0.5487,0.3349,0.1823,0.3248,0.2954,0.6156,0.8217,0.689,0.8135,0.6903,1.0,0.8812,0.8773,0.7185,0.6858,0.8173,0.7984,0.6236,0.8418,0.354,0.9222,0.8231,0.8054,0.9016,0.6864,0.5908,0.4979,0.9593,0.962,0.951,0.3558,0.8989,0.7513,0.6151,0.9189,0.7987,0.949,0.8818,0.3825,0.6821,0.9229,0.7966,0.4749,0.9095,0.598,0.9274,0.792,0.5079,0.5639,0.2975,0.8175,0.3393,0.259,0.4642,0.5702,0.2999,0.7878,0.9454,0.2046,0.7472,0.6435,0.1425,0.7812,0.3552,0.8263,0.5996,0.7546,0.3674,0.6537,0.6056,lipid metabolism
Rv0037c,0.9493,0.7557,0.7274,0.0525,0.8033,0.3609,0.9447,0.6527,0.1578,0.6938,0.0705,0.281,0.1999,0.8252,0.4124,0.2619,0.3012,0.8107,0.3698,0.2641,0.9172,0.0979,0.2501,0.5507,0.811,0.5712,0.2231,0.1071,0.4194,0.412,0.6664,0.8631,0.5569,0.9776,0.9465,0.3346,0.2354,0.639,0.6241,0.6532,0.2296,0.7301,0.9753,0.6821,0.16,0.621,0.1859,0.1035,0.0238,0.9756,0.7403,0.2499,0.2567,0.5544,0.3805,0.1821,0.4548,0.9379,0.5897,0.9525,0.063,0.7979,0.3337,0.5342,0.3421,0.5831,0.3452,0.5782,1.0,0.5841,0.0539,0.2946,0.8393,0.5787,0.5754,0.867,0.5626,0.4789,0.656,0.2616,0.102,0.5337,0.4227,0.8679,0.4008,0.8085,0.7422,0.084,0.4937,0.5183,0.7348,0.8938,0.7351,0.7769,0.9444,0.285,0.6127,0.6433,0.3076,0.8715,0.8222,0.3647,0.687,0.5934,0.6351,0.8537,0.7985,0.7953,0.4827,0.703,0.0474,0.5113,0.773,0.4311,0.9993,0.6562,0.6686,0.734,0.8276,0.8536,0.407,0.4961,0.5802,0.8194,0.4093,0.6099,0.6008,0.1918,cell wall and cell processes
