"","ORF","Name","Description","Final.Call","tuberculist","tbdb","kegg","pubmed","google","pubmed_name","google_name","essentiality","geneName"
"2942","Rv2869c","rip","Membrane bound metalloprotease","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2869c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2869c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2869c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2869c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2869c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=rip' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=rip' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2869c"
"2943","Rv2870c","dxr","Probable 1-deoxy-D-xylulose 5-phosphate reductoisomerase Dxr (DXP reductoisomerase) (1-deoxyxylulose-5-phosphate reductoisomerase)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2870c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2870c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2870c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2870c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2870c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=dxr' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=dxr' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2870c"
"2944","Rv2871","vapB43","Possible antitoxin VapB43","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2871' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2871' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2871' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2871' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2871' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=vapB43' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=vapB43' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2871"
"2945","Rv2872","vapC43","Possible toxin VapC43 Contains PIN domain","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2872' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2872' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2872' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2872' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2872' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=vapC43' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=vapC43' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2872"
"2946","Rv2873","mpt83","Cell surface lipoprotein Mpt83 (lipoprotein P23)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2873' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2873' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2873' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2873' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2873' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=mpt83' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=mpt83' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2873"
"2947","Rv2874","dipZ","Possible integral membrane C-type cytochrome biogenesis protein DipZ","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2874' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2874' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2874' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2874' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2874' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=dipZ' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=dipZ' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2874"
"2948","Rv2875","mpt70","Major secreted immunogenic protein Mpt70","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2875' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2875' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2875' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2875' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2875' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=mpt70' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=mpt70' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2875"
"2949","Rv2876","Rv2876","Possible conserved transmembrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2876' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2876' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2876' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2876' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2876' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2876' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2876' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2876"
"2950","Rv2877c","Rv2877c","Probable conserved integral membrane protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2877c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2877c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2877c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2877c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2877c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2877c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2877c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2877c"
"2951","Rv2878c","mpt53","Soluble secreted antigen Mpt53 precursor","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2878c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2878c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2878c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2878c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2878c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=mpt53' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=mpt53' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2878c"
"2952","Rv2879c","Rv2879c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2879c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2879c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2879c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2879c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2879c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2879c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2879c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2879c"
"2953","Rv2880c","Rv2880c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2880c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2880c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2880c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2880c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2880c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2880c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2880c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2880c"
"2954","Rv2881c","cdsA","Probable integral membrane phosphatidate cytidylyltransferase CdsA (CDP-diglyceride synthetase) (CDP-diglyceride pyrophosphorylase) (CDP-diacylglycerol synthase) (CDS) (CTP:phosphatidate cytidylyltransferase) (CDP-DAG synthase) (CDP-DG synthetase)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2881c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2881c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2881c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2881c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2881c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=cdsA' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=cdsA' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2881c"
"2955","Rv2882c","frr","Ribosome recycling factor Frr (ribosome releasing factor) (RRF)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2882c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2882c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2882c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2882c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2882c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=frr' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=frr' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2882c"
"2956","Rv2883c","pyrH","Probable uridylate kinase PyrH (UK) (uridine monophosphate kinase) (UMP kinase)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2883c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2883c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2883c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2883c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2883c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=pyrH' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=pyrH' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2883c"
"2957","Rv2884","Rv2884","Probable transcriptional regulatory protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2884' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2884' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2884' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2884' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2884' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2884' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2884' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2884"
"2958","Rv2885c","Rv2885c","Probable transposase","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2885c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2885c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2885c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2885c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2885c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2885c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2885c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2885c"
"2959","Rv2886c","Rv2886c","Probable resolvase","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2886c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2886c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2886c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2886c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2886c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2886c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2886c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2886c"
"2960","Rv2887","Rv2887","Probable transcriptional regulatory protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2887' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2887' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2887' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2887' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2887' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2887' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2887' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2887"
"2961","Rv2888c","amiC","Probable amidase AmiC (aminohydrolase)","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2888c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2888c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2888c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2888c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2888c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=amiC' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=amiC' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2888c"
"2962","Rv2889c","tsf","Probable elongation factor Tsf (EF-ts)","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2889c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2889c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2889c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2889c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2889c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=tsf' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=tsf' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2889c"
"2963","Rv2890c","rpsB","30S ribosomal protein S2 RpsB","Essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2890c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2890c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2890c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2890c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2890c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=rpsB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=rpsB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Essential","<span style=""font-weight:bold"">ORF: </span>Rv2890c"
"2964","Rv2891","Rv2891","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2891' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2891' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2891' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2891' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2891' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2891' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2891' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2891"
"2965","Rv2892c","PPE45","PPE family protein PPE45","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2892c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2892c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2892c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2892c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2892c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=PPE45' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=PPE45' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2892c"
"2966","Rv2893","Rv2893","Possible oxidoreductase","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2893' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2893' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2893' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2893' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2893' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2893' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2893' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2893"
"2967","Rv2894c","xerC","Probable integrase/recombinase XerC","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2894c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2894c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2894c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2894c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2894c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=xerC' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=xerC' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2894c"
"2968","Rv2895c","viuB","Possible mycobactin utilization protein ViuB","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2895c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2895c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2895c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2895c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2895c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=viuB' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=viuB' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2895c"
"2969","Rv2896c","Rv2896c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2896c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2896c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2896c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2896c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2896c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2896c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2896c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2896c"
"2970","Rv2897c","Rv2897c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2897c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2897c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2897c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2897c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2897c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2897c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2897c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2897c"
"2971","Rv2898c","Rv2898c","hypothetical protein","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2898c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2898c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2898c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2898c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2898c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2898c' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=Rv2898c' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2898c"
"2972","Rv2899c","fdhD","Possible FdhD protein homolog","Non-essential","<a href='https://mycobrowser.epfl.ch/genes/Rv2899c' target='_blank'>Tuberculist</a>","<a href='http://genome.tbdb.org/cgi-bin/GeneDetails.html?id=SRv2899c' target='_blank'>TB Database</a>","<a href='http://www.genome.jp/dbget-bin/www_bget?mtu:Rv2899c' target='_blank'>KEGG</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=Rv2899c' target='_blank'>PubMed</a>","<a href='https://www.google.com/search?q=Rv2899c' target='_blank'>Google</a>","<a href='https://www.ncbi.nlm.nih.gov/pubmed/?term=fdhD' target='_blank'>PubMed Gene Name</a>","<a href='https://www.google.com/search?q=fdhD' target='_blank'>Google Gene Name</a>","<span style=""font-weight:bold"">Essentiality </span>(DeJesus, 2017): Non-essential","<span style=""font-weight:bold"">ORF: </span>Rv2899c"
